sample_id,n_cells,threshold,fallback,call_rate,median_score,median_counts
PFCTX001,6126,0.5339619602870921,False,0.000652954619653934,0.02285714285714286,7288.5
PFCTX002,6280,0.209279026790819,False,0.0375796178343949,0.02329317269076305,6376.5
PFCTX003,6187,0.4191711796678155,False,0.002747696783578471,0.016312056737588655,6947.0
PFCTX004,3149,0.37746843871610913,False,0.00031756113051762465,0.01612115290669272,21339.0
PFCTX005,8400,0.39144714877136705,False,0.0,0.08800000000000001,1232.0
PFCTX006,1259,0.3717387063569802,False,0.0015885623510722795,0.023914968999114265,33096.0
PFCTX007,3351,0.48787277420192277,False,0.0017905102954341987,0.021983914209115284,21154.0
PFCTX008,6159,0.1939461879819854,False,0.04400064945608053,0.026064291920069507,9595.0
PFCTX009,9508,0.397243875989015,False,0.0011569204880100968,0.019957015658581517,6764.0
PFCTX010,8457,0.468541690032503,False,0.000709471443774388,0.022298456260720412,9825.0
PFCTX011,10062,0.33278732823975415,False,0.006360564500099384,0.018779342723004692,8118.5
PFCTX012,10956,0.38913686565638794,False,0.001095290251916758,0.013109077417759093,7631.0
PFCTX013,8986,0.5874956988621514,False,0.0005564210994880925,0.028206092515983452,5861.5
PFCTX014,6867,0.44795019316548307,False,0.0007281199941750401,0.020911127707244216,8500.0
PFCTX015,6790,0.5732172392586483,False,0.00014727540500736376,0.039215686274509796,4647.0
PFCTX016,3170,0.48313663535117124,False,0.0015772870662460567,0.019483938915218536,16479.0
PFCTX017,6566,0.30172957006913537,False,0.006853487663722205,0.02158273381294964,9328.5
PFCTX018,7597,0.4002269553072627,False,0.0017112017901803344,0.013569321533923305,8268.0
PFCTX019,6848,0.5431329963167078,False,0.0010221962616822429,0.020257826887661146,7913.0
PFCTX020,1206,0.355292737664419,False,0.0,0.062499999999999986,2881.0
PFCTX021,9460,0.515003964757403,False,0.0012684989429175475,0.024016010673782524,5793.5
PFCTX022,7297,0.5643214876689606,False,0.0012333835822940934,0.018688413183826028,7177.0
PFCTX023,9848,0.6356855049155385,False,0.00010154346060113728,0.022546840266751352,7244.5
PFCTX024,7382,0.5733641367109994,False,0.001896505012191818,0.017026850032743943,9822.0
PFCTX025,12878,0.6546025353746407,False,7.765180928715639e-05,0.02837542874961023,7103.0
PFCTX026,12183,0.16839709455074414,False,0.06435196585405893,0.025941939468807903,8007.0
PFCTX027,11266,0.1563064668491722,False,0.06524054677791585,0.01887840088839534,5069.5
PFCTX028,7151,0.41711578323956183,False,0.0008390434904209202,0.017687074829931974,8079.0
PFCTX029,8431,0.6031574396287656,False,0.0,0.031161473087818706,6798.0
PFCTX030,5363,0.5014321399408546,False,0.0007458512026850643,0.019750100765820237,8693.0
PFCTX031,9535,0.35073161348992943,False,0.0034609334032511796,0.017914831130690166,9216.0
PFCTX032,9855,0.5202023350218288,False,0.0004058853373921867,0.01511879049676026,7060.0
PFCTX033,12191,0.5300792604919451,False,0.0004921663522270527,0.022543352601156072,4278.0
PFCTX034,9501,0.5054851573000664,False,0.0006315124723713293,0.013911182450508295,8547.0
PFCTX035,4954,0.5397116852481201,False,0.00020185708518368994,0.02174877940523746,5042.0
PFCTX036,2800,0.37649190598134197,False,0.0007142857142857143,0.029675638371290544,19125.5
PFCTX037,9997,0.5075353539467249,False,0.001600480144043213,0.01733447001989202,7685.0
PFCTX038,9166,0.3489424482145117,False,0.002291075714597425,0.019583462853590302,10843.5
PFCTX039,11068,0.48699790520168074,False,0.0006324539212143115,0.021363769388352362,5792.5
PFCTX040,13968,0.11559348332040337,True,0.049327033218785794,0.021762208067940558,3232.5
PFCTX041,12662,0.5282648972078023,False,0.00118464697520139,0.02182428651371013,5647.5
PFCTX042,9492,0.3533945198227975,False,0.0012642225031605564,0.012352032938754502,9099.0
PFCTX043,7719,0.33718785110680827,False,0.004663816556548776,0.025641025641025644,7476.0
PFCTX044,10771,0.20953144988087302,False,0.03565128586018011,0.022657685241886102,6363.0
PFCTX045,6641,0.5671922234377645,False,0.0009034783918084626,0.01724137931034483,5897.0
PFCTX046,5650,0.5600248222258171,False,0.002831858407079646,0.04128440366972478,2608.5
